"period";"value";"obs_status";"source";"ref_area";"freq";"unit_measure";"unit_mult"
"2019-06-01";29;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-07-01";15;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-08-01";10;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-09-01";18;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-10-01";26;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-11-01";0;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2019-12-01";-16;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-01-01";-13;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-02-01";-14;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-03-01";0;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-04-01";-42;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-05-01";-43;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-06-01";-30;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-07-01";-12;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-08-01";6;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-09-01";16;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-10-01";-5;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-11-01";-7;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2020-12-01";-1;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-01-01";-5;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-02-01";16;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-03-01";43;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-04-01";161;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-05-01";172;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-06-01";104;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-07-01";60;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-08-01";42;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-09-01";36;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-10-01";57;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-11-01";73;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
"2021-12-01";69;"A";"Данные СберИндекса";"Амурская область";"Месяц";"% г/г";"0"
